Species	MarkerSNVTree	QuantitativeDivergenceReported	GeneRepertoireCorroboration	DirectionSupportedByTiming	SharedEnvironmentExcluded
Bifidobacterium bifidum	True	True	True	True	False
Coprococcus comes	True	True	True	True	False
Ruminococcus bromii	True	True	True	True	False
Bifidobacterium adolescentis	True	False	True	True	False
Bifidobacterium breve	True	False	True	True	False
Bifidobacterium longum	True	False	True	True	False
