Asset	Study	Identifier	DOI	URL	SourceFile	Bytes	SHA256	License	GateScope
Mother-infant sample design (Table S1)	Asnicar et al. 2017	PMC5264247 / sys001172080st8.xlsx	10.1128/mSystems.00164-16	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5264247/supplementaryFiles	input/sys001172080st8.xlsx	10992	8aa0eb1e386eb78b983fac927a1ba1ab2099956570688704d3f9a8a6ca7299a3	CC BY 4.0	extracted member; dynamic ZIP envelope is not the identity
Mother-infant MetaPhlAn2 profile (Table S2)	Asnicar et al. 2017	PMC5264247 / sys001172080st9.xlsx	10.1128/mSystems.00164-16	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5264247/supplementaryFiles	input/sys001172080st9.xlsx	118131	12b5dc05b3237b65512c3221812dffef9b749287f46af32ca9d983835c0e9144	CC BY 4.0	extracted member; dynamic ZIP envelope is not the identity
Mother-infant full-text methods and reported strain evidence	Asnicar et al. 2017	PMC5264247 JATS XML	10.1128/mSystems.00164-16	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5264247/fullTextXML	input/PMC5264247.xml	201829	1891a7c22bcb3616e77dd94757f1ef6be6b2a04bd7271a0deea1c4a87a8d17bf	CC BY 4.0	complete file
SameStr FMT supplementary workbook (Tables S1-S11)	Podlesny et al. 2022	PMC8951724 / MOESM7	10.1186/s40168-022-01251-w	https://static-content.springer.com/esm/art%3A10.1186%2Fs40168-022-01251-w/MediaObjects/40168_2022_1251_MOESM7_ESM.xlsx	input/40168_2022_1251_MOESM7_ESM.xlsx	168598	0f51d05906a2a574970070cab4302204c0f04c2a040bce5d923cd921d91ce757	CC BY 4.0	complete file
SameStr full-text methods	Podlesny et al. 2022	PMC8951724 JATS XML	10.1186/s40168-022-01251-w	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8951724/fullTextXML	input/PMC8951724.xml	141847	382a06a553b33b4e6edbcdba900f476986794d699eced2d00ad96caa62219411	CC BY 4.0	complete file
