Study	PMCID	BioProject	DataRole
Asnicar et al. 2017	PMC5264247	PRJNA339914	mother-infant species profiles and reported strain evidence
Podlesny et al. 2022	PMC8951724	PRJEB39023 plus cited public cohorts	SameStr validation and FMT engraftment outputs
