TaxonomicLevel	TestSet	AUROC	AUPR
Family	Control hold-out	0.774	0.0583
Family	rCDI / FMT	0.76	0.4466
Genus	Control hold-out	0.8684	0.1898
Genus	rCDI / FMT	0.7954	0.5315
Species	Control hold-out	0.9302	0.4745
Species	rCDI / FMT	0.8469	0.6528
Strain	Control hold-out	1.0	1.0
Strain	rCDI / FMT	0.9337	0.938
