Control	Run	ThresholdPercent	InputPairs	RetainedPairs	RemovedPairs	RetainedFraction	IndependentRetainedPairs	CountAgreement	Interpretation
Human control	ERR194147	20	20000	19968	32	0.9984	19968	PASS	Sensitivity branch; not the primary pipeline
Human control	ERR194147	30	20000	19955	45	0.99775	19955	PASS	Sensitivity branch; not the primary pipeline
Human control	ERR194147	40	20000	19925	75	0.99625	19925	PASS	Sensitivity branch; not the primary pipeline
Microbial control	ERR9765746	20	20000	19997	3	0.99985	19997	PASS	Sensitivity branch; not the primary pipeline
Microbial control	ERR9765746	30	20000	19997	3	0.99985	19997	PASS	Sensitivity branch; not the primary pipeline
Microbial control	ERR9765746	40	20000	19996	4	0.9998	19996	PASS	Sensitivity branch; not the primary pipeline
