Item	Release	Reference	Bytes	SHA256	Status
Official archive	2023-07	T2T-CHM13v2.0 + IPD-IMGT/HLA v3.51	3934284979	5b584f5c28abeec5dba78bd37b53fa476dd42af57051d2fb7d2f2098e3a2df13	PASS
human-t2t-hla.1.bt2	2023-07	human-t2t-hla Bowtie2 component	1073322912	c5db0259c14bfe01edb5f2e553a23d53dc102b9c483962b6f446859fc29c7744	PASS
human-t2t-hla.2.bt2	2023-07	human-t2t-hla Bowtie2 component	801140096	ea133eedf5233ee75df9e70c10a9cd6e40585c84f04faaee4027e6f68f34936c	PASS
human-t2t-hla.3.bt2	2023-07	human-t2t-hla Bowtie2 component	172898	bf2b212dcde527642e64eddcf549f20c672aa9c7bb8187f3ae541897690a9ad3	PASS
human-t2t-hla.4.bt2	2023-07	human-t2t-hla Bowtie2 component	801140088	d82066fa5370dad94ec8ce9c52c70fe2a2b6c53320eb283a4db79a9148f4fec7	PASS
human-t2t-hla.rev.1.bt2	2023-07	human-t2t-hla Bowtie2 component	1073322912	1a35386879b2c593a9ed56fc462f44b0e934a4de6dd86b2477656339541d3ba4	PASS
human-t2t-hla.rev.2.bt2	2023-07	human-t2t-hla Bowtie2 component	801140096	b1b3426de80bd851d7b68c4de0d6b21102ff11e8343e989b978a608020c778f4	PASS
