Control	ExpectedClass	Project	Sample	Run	Mate	PrefixPairs	ENAReportedMD5	ENABytes	Status
Human control	Human	PRJEB3381	SAMEA1573618	ERR194147	R1	20000	63634f9d0736e09debdfe5827a5e82a0	51402085017	PASS
Human control	Human	PRJEB3381	SAMEA1573618	ERR194147	R2	20000	81c3ba5eb6da709324cd124a847b4528	52551746373	PASS
Microbial control	Microbial	PRJEB52977	SAMEA14435832	ERR9765746	R1	20000	ed0e6e0ee846542531c742a45181cd6f	1740647656	PASS
Microbial control	Microbial	PRJEB52977	SAMEA14435832	ERR9765746	R2	20000	5b60ac93cb69dff77ae38cfa501afd06	2104551765	PASS
