Control	Run	InputPairs	RetainedPairs	RemovedPairs	RetainedFraction	RemovedFraction	SuccessMetric	SuccessFraction	LedgerStatus
Human control	ERR194147	20000	50	19950	0.0025	0.9975	Host pairs removed	0.9975	PASS
Microbial control	ERR9765746	20000	20000	0	1.0	0.0	Microbial pairs retained	1.0	PASS
