Quantity	Count
Exposure instruments	79
Outcome associations	79
Matched SNPs	79
Retained for MR	79
Palindromic SNPs	4
Ambiguous palindromic SNPs	0
Incompatible alleles	0
Outcome beta sign flips	0
Proxy variants	0
