Analysis	Estimate	StandardError	TStatistic	PValue	CILower	CIUpper	OddsRatio	OddsRatioLower	OddsRatioUpper
Raw	0.445909096953398	0.0589830187629256	7.55995719286038	6.66443944139387e-11	0.330302380178064	0.561515813728733	1.56190947775019	1.39138879325129	1.75332820597563
Outlier-corrected	0.479786552244295	0.0509844695698369	9.41044510793818	2.19251325545889e-14	0.379856991887415	0.579716112601175	1.6157294915502	1.46207548582714	1.78553146890921
