id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval	I2Percent
ieu-a-2	ieu-a-7	Coronary heart disease || id:ieu-a-7	Body mass index || id:ieu-a-2	MR Egger	143.304576132034	77	6.84158545728121e-06	46.2682894864043
ieu-a-2	ieu-a-7	Coronary heart disease || id:ieu-a-7	Body mass index || id:ieu-a-2	Inverse variance weighted	143.650840925034	78	8.72841995247562e-06	45.7016753276749
