PlatformKey	PlatformLabel	RunAccession	Mate	HeaderStartsAt	SeparatorStartsPlus	DisplaySequenceCharacters	DisplayQualityCharacters	FullReadLength	FullSequenceSHA256	FullQualitySHA256
Illumina	Illumina HiSeq 3000	ERR9765746	R1	TRUE	TRUE	60	60	150	cff7255d895d5b4af7c75cdb6da35d641e846028b357bf434f8155d6d2c15502	6bd2e8a8a9432497de11c58238c4b96bb24fb74b7876463c6e6b7d842aa21e54
Illumina	Illumina HiSeq 3000	ERR9765746	R2	TRUE	TRUE	60	60	150	6fa115f582a0862561b9e11b73813a850e4451bb3f6f7ffeff7914cc27fe2f06	e777a70a5ff9e30b2989cbc8264f699759d7249bd6f20d9fdf3414c3951bb91c
ONT	ONT MinION R9	ERR9765780	SE	TRUE	TRUE	60	60	645	a21cfcbab522d8271742572137555ebd1dbcd0240a1843da24c7dcde04b0baf5	7a6d072d7a50ccbe4b4d3a50cffc85e2a15568d8bf858b03b0f08b3003601752
PacBio	PacBio Sequel II CCS	ERR9765783	SE	TRUE	TRUE	60	60	5317	f1c0440622f91ef3f266e3dc4770ccd00958bcb08950693acdb911a73a473005	7ee52ecd4d32a39f23614c1b562413fd76848379586bd3e55e70ae6da968c458
