PlatformKey	DisplayLabel	RunAccession	PrefixRecords	MinimumReadLengthBp	MedianReadLengthBp	MeanReadLengthBp	P95ReadLengthBp	MaximumReadLengthBp	ReadN50Bp	MedianErrorProbabilityMeanQ	MeanGCPercent	FractionAtLeast1kb	FractionAtLeast5kb	FractionAtLeast10kb	FractionAtLeast20kb
Illumina	Illumina HiSeq 3000	ERR9765746	5000	63	150	149.8392	150	150	150	38.2115923743576	46.5856137423002	0	0	0	0
ONT	ONT MinION R9	ERR9765780	5000	500	4033.5	4322.7572	9390	24698	5908	11.2323160887885	46.8568605834993	0.8794	0.3718	0.0366	6e-04
PacBio	PacBio Sequel II CCS	ERR9765783	5000	1963	9204	9691.6746	17169.25	25821	10854	38.5941928031148	48.0262317062076	1	0.885	0.422	0.017
