X_features	Y_features	association	p-values	q-values
MB001	MT001	-0.0281170895509526	0.7283734115341924	0.8571117918110303
MB001	MT002	0.10967911900934807	0.17429139554774634	0.3736261861621542
MB001	MT003	-0.4174019528858238	6.544470797812225e-08	1.0793277228755512e-05
MB001	MT004	-0.17698444860342877	0.027593056894536748	0.11088741439991208
MB001	MT005	-0.09200154684025652	0.25488884660180294	0.4722891169470046
MB001	MT006	-0.3347040056717476	2.074362179635329e-05	0.0006560977663558915
MB001	MT007	-0.39262028294286355	4.351181230824778e-07	4.038030780570783e-05
MB001	MT008	-0.00864619251716026	0.914967572561	0.9611360082680238
MB001	MT009	-0.13285101994779414	0.09937188018984601	0.26213616670769724
MB001	MT010	0.019396732299958107	0.8106751260170537	0.9047160053862875
MB001	MT011	-0.06413586413586414	0.4278719989809089	0.6409373653858522
MB001	MT012	-0.3515967903064677	7.25764297409275e-06	0.0003051170880320381
MB001	MT013	0.06115175147433212	0.44972218320503377	0.660383406375911
MB001	MT014	-0.08878218555637911	0.2719630798653112	0.49133753676899156
MB001	MT015	-0.15738777351680577	0.050487778025934064	0.16682840728027476
MB001	MT016	-0.21661241983822627	0.006785486313537295	0.04196196284178725
MB001	MT017	-0.09123779446360092	0.2588711031782946	0.47685003470570975
MB001	MT018	-0.20209467951403434	0.011676655255895133	0.06136223674513234
MB001	MT019	0.25007250813702425	0.001699934467987525	0.015780312725857882
MB001	MT020	0.2298332553199606	0.00401661730847013	0.028882799094146195
MB001	MT021	0.18746737133833907	0.01950137520199483	0.08753904690354625
MB001	MT022	-0.11097459876788009	0.1692278967525742	0.36666525522281856
MB001	MT023	0.16550827364559886	0.039580696991186805	0.1414024414171196
MB001	MT024	-0.07625215110879538	0.34567016732006584	0.5656785379893706
MB001	MT025	-0.21812879160895784	0.006398820352582566	0.040207134912145476
MB001	MT026	-0.1782765621475299	0.026461605399731327	0.10791134456364423
MB001	MT027	0.18990042215848665	0.017948392212191397	0.08241787477946792
MB001	MT028	0.007851857222910305	0.9227541577237551	0.9641315656519637
MB001	MT029	-0.04890271019303277	0.5456659646804185	0.7366195730114613
MB001	MT030	0.38535199648542356	7.370385470476038e-07	5.9426365136238224e-05
MB001	MT031	-0.02118864256588126	0.7935600431379058	0.8946191638052321
MB001	MT032	0.2747671683155554	0.000540228883589869	0.006839847051553088
MB001	MT033	-0.0060842383423028576	0.9401067446757952	0.9712740959718443
MB001	MT034	0.16998807643968936	0.03446245899406522	0.12850940148748619
MB001	MT035	0.08533724340175954	0.2910745221830028	0.5113520723095052
MB001	MT036	0.18351326093261577	0.02227330609874342	0.09594596816415966
MB001	MT037	0.3190293577390352	5.210587559551683e-05	0.0012484764418631475
MB001	MT038	0.24428474751055396	0.002189475565890988	0.018888689002207647
MB001	MT039	0.22937707453836487	0.004091932940759772	0.029283435567601206
MB001	MT040	-0.19146982050207856	0.01700458628016996	0.07936098536268957
MB001	MT041	0.2074054977280784	0.009611625015191427	0.05361652803334765
MB001	MT042	0.2776113222353727	0.0004700707287670574	0.006231135892080231
MB001	MT043	0.04531597434823241	0.5755474581815155	0.7590090006175881
MB001	MT044	0.31201379265895396	7.742831216755405e-05	0.0016793546305990928
MB001	MT045	0.1605072347007831	0.04603437122881861	0.1568949222315533
MB001	MT046	-0.12246463214205151	0.12900161656193476	0.30999100771188043
MB001	MT047	-0.06870226547645902	0.3956493429738317	0.6135862497923538
MB001	MT048	-0.18909155360768265	0.01845233693574853	0.0840029491833915
MB001	MT049	-0.14912184589603944	0.06404127221783915	0.1964633689803936
MB001	MT050	-0.37939802133350514	1.1244213388505654e-06	8.060926916790277e-05
MB001	MT051	-0.18147981051206857	0.023826457150845144	0.10058915537186917
MB001	MT052	-0.154577680384132	0.05480008047780072	0.17687284838927214
MB001	MT053	-0.12913215816441623	0.10929255137893233	0.27901111561543107
MB001	MT054	-0.00509168251103735	0.94986348050881	0.9758366102242034
MB001	MT055	-0.0651187522155264	0.42081139266945866	0.6350426471193649
MB001	MT056	-0.019670651928716445	0.8080528071727822	0.9032129750403617
MB001	MT057	0.2923578778946825	0.00022306975197579758	0.003610914952633083
MB001	MT058	-0.244107505397828	0.0022063077197140403	0.018982318247051898
MB001	MT059	0.25441010602300923	0.0014008711480731312	0.013611065577184922
MB001	MT060	-0.018059359994843864	0.8235079234514525	0.9121327370390914
MB001	MT061	-0.12644774580258453	0.11692348212433348	0.29171145373220253
MB001	MT062	0.028748971785142578	0.722516177498986	0.8540649845282654
MB001	MT063	-0.20446005607295928	0.01071312128270454	0.057781238976030984
MB001	MT064	-0.004521285166446456	0.9554738988349674	0.9787429439135431
MB001	MT065	0.19467306886661723	0.015211209340768833	0.07355946207860754
MB001	MT066	-0.1878025200605846	0.019280779366720274	0.08680964977060122
MB001	MT067	-0.41824626985917307	6.118642134871457e-08	1.0429615633655387e-05
MB001	MT068	-0.326401281300484	3.400085449674722e-05	0.0009303470944513702
MB001	MT069	-0.19256872160097968	0.016369673671509755	0.0772782475667295
MB001	MT070	0.21279365795494828	0.00785284970347532	0.046404531588847414
MB001	MT071	0.21648029389964873	0.006820142682174692	0.04210451721970657
MB001	MT072	-0.01102768199542393	0.891673977141093	0.947919118974906
MB001	MT073	0.20651284199671296	0.00993438269443047	0.05483882887918824
MB001	MT074	0.15943089168895622	0.04753244670376557	0.16014650845215775
MB001	MT075	0.24844691473608232	0.0018262369503810353	0.01660679057134892
MB001	MT076	-0.009313267377783506	0.9084346811610124	0.957786161644894
MB001	MT077	0.07721645647339544	0.3395866920148506	0.5604064284827927
MB001	MT078	-0.16156101962553573	0.044606042875939965	0.1536602344828023
MB001	MT079	-0.1534948922045696	0.05654090031330361	0.1803825883880524
MB001	MT080	0.0523332772066815	0.5178174275807539	0.7159631458269904
MB001	MT081	0.24483580935193835	0.0021378846445370687	0.01852541596791282
MB001	MT082	-0.061983228048768185	0.44357183408610856	0.6547240914813149
MB001	MT083	0.017145771281765164	0.8323014559151788	0.9175498963808798
MB001	MT084	0.04213528407076794	0.6026697880639513	0.7764493628594409
MB001	MT085	-0.23635396861203312	0.003068092215016197	0.023851670057233352
MB001	MT086	-0.1944120395733299	0.015350912238427442	0.07395342735803873
MB001	MT087	0.1211233518418126	0.1332779363878921	0.3160736907117426
MB001	MT088	-0.013802326705552512	0.8646525237618445	0.9347197164657817
MB001	MT089	0.28921010992419177	0.0002624410515104621	0.004084238864131567
MB001	MT090	-0.29678386129999035	0.00017692866571493521	0.003052740660209188
MB001	MT091	-0.01882311237149947	0.8161733581592452	0.9075421807507775
MB001	MT092	-0.06113563855499339	0.4498418397423959	0.6604094246114087
MB001	MT093	-0.11705069124423963	0.14692912384204068	0.33573602225282495
MB001	MT094	-0.003464277657826045	0.965876176380912	0.983724791585472
MB001	MT095	0.10665463568689376	0.18654738220231545	0.3896003957877155
MB001	MT096	-0.198520834004705	0.013276846682624929	0.06707884464796258
MB001	MT097	0.37779639715123586	1.2579370638708728e-06	8.74841081939367e-05
MB001	MT098	0.12476233443975378	0.12192227861331408	0.29947827382017084
MB001	MT099	0.07112248326070053	0.3791765179089587	0.5981574521575292
MB001	MT100	0.07959137636556991	0.32489605234172636	0.5454954675332297
MB001	MT101	-0.06130165101163007	0.4486098672796761	0.6591723117830034
MB001	MT102	0.10954886903111581	0.17480662157269133	0.37431401860747104
MB001	MT103	0.3038671006412942	0.00012115052115988469	0.0023240037284129544
MB001	MT104	0.15936966259546903	0.047618872523313635	0.1602947812255957
MB001	MT105	0.04525474525474526	0.5760641385439618	0.7594072369889001
MB001	MT106	-0.20347716799329704	0.01110465553492815	0.05940101964534649
MB001	MT107	-0.17724533530985143	0.027361337633237035	0.11035729277955938
MB001	MT108	0.16096161902613518	0.045413876772636	0.15537887704510683
MB001	MT109	0.2798620734104605	0.00042062408391706896	0.005737384792333898
MB001	MT110	-0.008694531275176437	0.9144939781125871	0.9608372173955855
MB001	MT111	0.04335019818890787	0.5922427735409981	0.7697381967992657
MB001	MT112	0.196902437415391	0.014062529682514128	0.06977146491043051
MB001	MT113	0.08556926944023718	0.2897599061489922	0.5098955238946931
MB001	MT114	0.13279945860591022	0.09950439092764411	0.2623815250996187
MB001	MT115	-0.10469852727917245	0.19480284128507983	0.40074538821954137
MB001	MT116	0.028961361219425736	0.7205510235145232	0.852616236266393
MB001	MT117	0.02127227611098579	0.792763564490899	0.8941561866480084
MB001	MT118	0.19792175231528433	0.013563086155057273	0.06806466353806453
MB001	MT119	-0.062274872123761094	0.44142589572103474	0.6527325861389637
MB001	MT120	-0.2458380329348071	0.0020468758769092467	0.018025850735693842
MB001	MT121	0.07097096451935161	0.38019537956615823	0.599057153062925
MB001	MT122	-0.00028036479649382875	0.9972375223525536	0.9989605617247742
MB001	MT123	-0.23101736972704714	0.003826900872951117	0.027871815259563632
MB001	MT124	0.1776191550385099	0.0270322101522831	0.10948239091814482
MB001	MT125	-0.19601366375559923	0.014511051753062122	0.07119020522006408
MB001	MT126	0.23310418058093077	0.0035120851054824278	0.026173690583639293
MB001	MT127	0.11622248719022912	0.14983037762312992	0.339489062014818
MB001	MT128	-0.0283814104503062	0.7259213544800727	0.8560904807821152
MB001	MT129	0.14239309078018755	0.0771533531316975	0.22196314735624117
MB001	MT130	0.16511552963165865	0.04005839181745382	0.14249342232208573
MB001	MT131	0.35298250136959813	6.64049861344022e-06	0.0002864605665949985
MB001	MT132	-0.019830185806285486	0.8065265204795369	0.9023859280678096
MB001	MT133	-0.06793529051593568	0.40095765312978005	0.6180030273970704
MB001	MT134	0.0554767812832329	0.49295412725077203	0.6963319757461128
MB001	MT135	-0.17118687763849055	0.03319185791548472	0.1253355348405413
MB001	MT136	0.22750797589507266	0.00441394850740179	0.030946695246457007
MB001	MT137	0.19370042201443854	0.015737464845762435	0.0751881362213458
MB001	MT138	-0.11319970352228417	0.16078715251940204	0.3544854253201192
MB001	MT139	-0.07584263326673214	0.3482743508118228	0.5679884118018825
MB001	MT140	0.20002900325480968	0.012579538957376362	0.06444554208619065
MB001	MT141	0.027150334706505228	0.7373651174921402	0.8626613345997399
MB001	MT142	-0.11300312590635171	0.16151992124809206	0.35573039887782193
MB001	MT143	-0.03717787793388477	0.6460381266605691	0.805755383773647
MB001	MT144	-0.13243852921272276	0.10043587834406169	0.26384675612148106
MB001	MT145	0.003406271148206632	0.9664472155825236	0.9838006565677329
MB001	MT146	0.21581644162289323	0.006996664298806096	0.04286620665088281
MB001	MT147	-0.1471367342335084	0.06770484909235953	0.20415146114777957
MB001	MT148	0.3057136411975122	0.00010958543598396962	0.002145914343192645
MB001	MT149	-0.3568700875597389	5.163563876704587e-06	0.00023975172822768393
MB001	MT150	0.2727202415449162	0.0005965664987576367	0.007348009668014771
MB001	MT151	0.2101619921514722	0.008672622432262774	0.049935902184223516
MB001	MT152	0.23869851784864257	0.00277995464149807	0.022244892244728413
MB001	MT153	0.2415552189745738	0.0024620645307337967	0.020461883164783038
MB002	MT001	0.09971335070321781	0.2170347297971244	0.42743859083338753
MB002	MT002	0.12886478752283156	0.1100346585478147	0.28013835783855234
MB002	MT003	-0.05711385388804744	0.48026122903476254	0.6863359423082004
MB002	MT004	0.17708112619734906	0.027506993263684498	0.1106586322432022
MB002	MT005	-0.1050884599271696	0.19313636802660347	0.3984426727189491
MB002	MT006	-0.18948470883954752	0.01820588048168945	0.08328403322657577
MB002	MT007	-0.29302310592633174	0.00021548537947491684	0.0035242752693920147
MB002	MT008	0.08625890238793464	0.285875972741937	0.5059320542306848
MB002	MT009	-0.10926815120363507	0.17592087473561185	0.37578119230740703
MB002	MT010	-0.046547001385711065	0.5652057487911555	0.7508287885243876
MB002	MT011	-0.030743450098288806	0.7041351386554799	0.8427721136461772
MB002	MT012	-0.2641326415519964	0.0008969992739205259	0.00986660353357883
MB002	MT013	0.028187941091166898	0.7277158633841354	0.8568931031828032
MB002	MT014	0.005842544552221971	0.9424818091907389	0.9725166425369738
MB002	MT015	0.05117140923592537	0.5271670339876453	0.7227524064355313
MB002	MT016	-0.17497663626695886	0.02943311290975268	0.11621627442512847
MB002	MT017	0.014366278882407916	0.8591784251321957	0.9313052640308782
MB002	MT018	-0.037159614578969415	0.646200242910318	0.8058189481989833
MB002	MT019	0.15962102413715318	0.04726490369910206	0.1595625902072213
MB002	MT020	0.19658260818430554	0.014222517155808415	0.07028934533125598
MB002	MT021	0.05055267313331829	0.5321806034977168	0.7268794282137677
MB002	MT022	-0.07597247588903555	0.3474473291770055	0.5673050976541225
MB002	MT023	0.14906975414315626	0.06413529464034703	0.19663305326841307
MB002	MT024	-0.020829439329361994	0.7969833068928205	0.8961792982885236
MB002	MT025	-0.16437404832836897	0.04097346106132962	0.14481546952903557
MB002	MT026	-0.0942412426283394	0.24345494472235427	0.45944930049475063
MB002	MT027	0.17487673616705876	0.029527332665723324	0.1163996338884662
MB002	MT028	-0.026109479671668084	0.7470859386008912	0.8686207357825201
MB002	MT029	-0.10962908059682254	0.17448919804459903	0.3738549562963326
MB002	MT030	0.05664363045229298	0.4838889067759736	0.689428409038936
MB002	MT031	-0.07676733823317726	0.3424115197274398	0.5624841716601459
MB002	MT032	-0.036086494151010284	0.6557548773484526	0.8127295209997484
MB002	MT033	-0.08489252682801068	0.29360528739573394	0.5140622562578829
MB002	MT034	0.036357191195900876	0.6533393549681168	0.8112997084770074
MB002	MT035	0.015719764106860882	0.846068384595863	0.9245523118477639
MB002	MT036	0.02095646289194676	0.7957723065448892	0.8956576721284344
MB002	MT037	0.1606296928877574	0.04586645387090729	0.15644858923090296
MB002	MT038	0.0439882697947214	0.5867995528719145	0.7659729168854852
MB002	MT039	-0.03126228610099578	0.6993809743812749	0.8400874196026186
MB002	MT040	0.10309690309690309	0.20175734023694133	0.4096109454306823
MB002	MT041	0.1293867422899681	0.1085895814451144	0.2777959497928098
MB002	MT042	0.05989015814039369	0.4591448347121503	0.6681962246171895
MB002	MT043	0.14408172472688602	0.07367481953795332	0.2156497714215672
MB002	MT044	0.10390577164770715	0.1982230297124101	0.4050908037202922
MB002	MT045	0.18922367954626018	0.018369190784804475	0.08379751547154571
MB002	MT046	0.024523863233540652	0.7619708277672362	0.8773079053280868
MB002	MT047	-0.05660790822081145	0.4841650967181941	0.6894724810364345
MB002	MT048	0.05716541522993136	0.4798643388083683	0.6860452843824901
MB002	MT049	0.1252038284296349	0.12059712565419191	0.29742406369819285
MB002	MT050	-0.06791917759659695	0.40106962454398065	0.6180672485994795
MB002	MT051	0.07190229125712996	0.3739591872870083	0.5927983671648631
MB002	MT052	-0.09283297347813477	0.2506019143723379	0.4673240682260557
MB002	MT053	0.049911378943637015	0.5374020706679863	0.7300849313092012
MB002	MT054	0.11612580967419676	0.15017184600143862	0.3400064552250944
MB002	MT055	0.11580355128742226	0.15131431829811273	0.3415768426038101
MB002	MT056	0.10051561341883922	0.21333992011384192	0.4230610844504479
MB002	MT057	0.1770343986936209	0.02754856201529955	0.11072612408048393
MB002	MT058	-0.07272082755953724	0.3685303075299081	0.587923544771231
MB002	MT059	0.14820340949373206	0.06571560645922296	0.20002935916243345
MB002	MT060	0.06553768811833327	0.41782266062412576	0.6322981549503394
MB002	MT061	-0.07514421062808159	0.35274412361632634	0.5720942050834902
MB002	MT062	0.126858342598603	0.11573016389844683	0.2897018236440718
MB002	MT063	0.11944184847410655	0.1387914256564874	0.32446361487027786
MB002	MT064	0.04440076052979279	0.5832929633232096	0.7639871426168262
MB002	MT065	-0.0605652412104025	0.454089176773508	0.6638346091944652
