Study	Arm	FavorableEndpoint	FavorableEvents	Total	TimeWeeks	Design	EndpointNote	FavorableRate
van Nood 2013	Donor FMT	Cure without relapse	15	16	10	Open-label randomized trial	Overall response after up to two infusions	0.9375
van Nood 2013	Vancomycin	Cure without relapse	4	13	10	Open-label randomized trial	Standard vancomycin arm	0.307692307692308
van Nood 2013	Vancomycin + lavage	Cure without relapse	3	13	10	Open-label randomized trial	Standard vancomycin plus bowel-lavage arm	0.230769230769231
Feuerstadt 2022	SER-109	No recurrent CDI	78	89	8	Double-blind randomized trial	Complement of 11/89 recurrent CDI	0.876404494382023
Feuerstadt 2022	Placebo	No recurrent CDI	56	93	8	Double-blind randomized trial	Complement of 37/93 recurrent CDI	0.602150537634409
