Input	Coordinate	Origin	NextStep
mgen-10-1198-s002.xlsx	Tables S1, S3, S4	Cook et al. 2024 supplement	published mapping audit and threshold sensitivity
15 accession-locked FASTA files	55-phage-reference-manifest.tsv	NCBI Nucleotide	geNomad v1.9 taxonomy and 95/85 vOTU clustering
PMC11521287.xml	Table 3	DeepPL paper	prediction-versus-confirmed lifecycle ledger
