Tool	ThreadsRequested	WallSeconds	PeakRAMGiB	OutputBytesSharedDirectory	ExitStatus	Measurement
geNomad	16	145.36	2.654	3445901	0	GNU time -v; 15 current RefSeq/GenBank accessions
makeblastdb	1	2.97	0.072	401748	0	GNU time -v; 15 current RefSeq/GenBank accessions
BLASTN	16	2.97	0.142	401748	0	GNU time -v; 15 current RefSeq/GenBank accessions
anicalc	1	4.29	0.273	401748	0	GNU time -v; 15 current RefSeq/GenBank accessions
aniclust	1	4.4	0.273	401748	0	GNU time -v; 15 current RefSeq/GenBank accessions
BBMap smoke test	auto (reduced to 23 by BBMap)	29.29	1.395	914	0	GNU time -v; implementation check with -Xmx2g
