Assertion	Pass	Source
HP1 temperate	True	PMC11521287 Table 3
J1 disagreement	True	PMC11521287 Table 3
J2 disagreement	True	PMC11521287 Table 3
SWAN disagreement	True	PMC11521287 Table 3
unknown labels retained	True	PMC11521287 Table 3
