Tool	Version	Database	Role
geNomad	1.12.0	geNomad DB v1.9; ICTV MSL39	virus confirmation and taxonomy
BLASTN	2.17.0	15-accession all-vs-all catalog	nucleotide alignments for vOTU clustering
anicalc / aniclust	CheckV 1.1.1 distribution	not applicable	95% ANI / 85% target-coverage vOTUs
BBMap	38.69 (study-reported and smoke-tested)	15 study reference genomes	published read mapping; minid=0.90, ambiguous=all
SAMtools	1.24	not applicable	BAM indexing and coverage audit
SeqKit	2.13.0	not applicable	FASTA/FASTQ inspection
