Quantity	Value
Residual correlation where ACME crosses zero (control)	0.05
Residual correlation where ACME crosses zero (treated)	0.1
R2-star product threshold (control)	0.0025
R2-star product threshold (treated)	0.01
R2-tilde product threshold (control)	0.00153074867009506
R2-tilde product threshold (treated)	0.00612299468038024
