Effect	Estimate	CILower	CIUpper	PValue
ACME control	0.0130316695006103	-0.028365573338266	0.0661869473965828	0.5232
ACME treated	0.0101034366247535	-0.0209055649279354	0.0524782183540995	0.5232
ACME average	0.0115675530626819	-0.0244186132335229	0.0585416350561871	0.5232
ADE average	0.197781863070209	-0.00477329155728984	0.375372836744837	0.054
Total effect	0.209349416132891	0.0109500449320296	0.37756062131607	0.0356
Proportion mediated average	0.0391313366099178	-0.213590339844889	0.547959040092089	0.5412
