StageOrder	Stage	Samples	Responders
1	Public baseline WGS profiles	167	106
2	Response status available	167	106
3	Published fiber category and grams available	94	60
4	Paper-aligned confounders complete	94	60
5	Sequencing-quality sensitivity subset	93	59
