Tool	Version	Executable
Hostile	2.0.2	${HOST_REMOVAL_ENV_PREFIX}/bin/hostile
Bowtie2	2.5.4	${HOST_REMOVAL_ENV_PREFIX}/bin/bowtie2
Samtools	1.21	${HOST_REMOVAL_ENV_PREFIX}/bin/samtools
fastp	1.3.6	${HOST_REMOVAL_ENV_PREFIX}/bin/fastp
SeqKit	2.10.0	${HOST_REMOVAL_ENV_PREFIX}/bin/seqkit
Python	3.11.15	${HOST_REMOVAL_ENV_PREFIX}/bin/python
