Control	Run	InputPairs	SequenceExactUniquePairs	SequenceExactDuplicatePairs	SequenceExactDuplicateFraction	MaximumPairMultiplicity	FastpEstimatedDuplicationRate	FastpDedupRetainedPairs	FastpDedupRemovedPairs	PrimaryDeduplication	InferenceBoundary
Human control	ERR194147	20000	16687	3313	0.16565	52	0.16565	16687	3313	false	Sequence equality alone does not identify PCR or optical origin
Microbial control	ERR9765746	20000	19694	306	0.0153	4	0.0153	19694	306	false	Sequence equality alone does not identify PCR or optical origin
