Rank	Features	Samples	RawSumPercentMin	RawSumPercentMedian	RawSumPercentMax	ReclosedSumMaxError
Phylum	18	748	99.99998	100	100.00002	2.22044604925031e-16
Genus	232	748	99.99993	100	100.00006	2.22044604925031e-16
Species	749	748	99.9999	100	100.00008	2.22044604925031e-16
