Resource	Version	Source	SHA256	License	Notes
HMP_2012 relative abundance	2021-03-31	ExperimentHub curatedMetagenomicData/HMP_2012	f42713b0d59d15f65172ead2375c2ea2c1b6309b44cb2b29231edb190e56ab23	Artistic-2.0 package plus original-study terms	1188 lineage rows x 748 samples; values supplied as percent
HMP_2012 sample metadata	curatedMetagenomicData 3.12.0	curatedMetagenomicData::sampleMetadata	frozen-subset-checksum-in-file-manifest	Artistic-2.0 package plus original-study terms	748 samples; 103 subjects; representatives across seven HMP Figure 3 habitats: Anterior nares=74, Retroauricular crease=17, Buccal mucosa=84, Tongue dorsum=90, Supragingival plaque=88, Stool=95, Posterior fornix=42
HMP Nature Figure 3	Nature 486 (2012)	https://doi.org/10.1038/nature11234	5afd411dee3ad8604263da4a3069f429942b6605674ce7cc8a3d0a161dca66c2	CC BY-NC-SA 3.0	Original figure is an attribution anchor; generated figures use reprocessed profiles
Taxonomic profile processing	bioBakery 3 reprocessing	MetaPhlAn3 relative_abundance	not-applicable	input provenance; see curatedMetagenomicData resource metadata	Rank tables are reclosed separately and expressed as fractions
