Mate	RunAccession	PrefixRecords	ENAReportedMD5	ENABytes	HTTPContentLengthMatches	PrefixUncompressedSHA256	PrefixCompressedSHA256	FullMD5Verified
R1	ERR9765746	100000	ed0e6e0ee846542531c742a45181cd6f	1740647656	true	ab03bc05aa0f964b03259c3ecadde7f370f91d8f666ce39a475f6b2db0beb36e	78ae1a6df5a5396d099a39ca9902273174bdc90d3136b543364c9a7bdfcfa921	false
R2	ERR9765746	100000	5b60ac93cb69dff77ae38cfa501afd06	2104551765	true	642dbfc3272d140f87084fa865039ba834a87b11508453c8dacbd78fdf6377e5	0073f5df402e84e3655896d78616a3776223ea4242d81cc692d0e06a658c7fcf	false
