Module	ReportsFound	ExpectedReports	Status	SampleNames
FastQC	4	4	PASS	clean_fastqc | ERR9765746_clean_R1.fastq.gz | clean_fastqc | ERR9765746_clean_R2.fastq.gz | raw_fastqc | ERR9765746_prefix100k_R1.fastq.gz | raw_fastqc | ERR9765746_prefix100k_R2.fastq.gz
fastp	1	1	PASS	fastp | ERR9765746 first 100,000 pairs
