Branch	Features	Method	EnvironmentAdjusted	Pseudocount	StARSThreshold	StARSReplicates	SelectedLambda	SelectedPathIndex	Edges	Nonisolates	SharedFeaturesWithPrimary	PrimaryEligibleEdges	EdgeIntersection	EdgeUnion	EdgeJaccardWithPrimary	PrimaryEdgeRetention
Primary	93	glasso	TRUE	0.000001	0.05	100	0.570940546595056	5	70	46	93	70	70	70	1	1
Pseudocount 1e-7	93	glasso	TRUE	0.0000001	0.05	50	0.581776543305348	5	64	41	93	70	63	71	0.887323943661972	0.9
Pseudocount 1e-5	93	glasso	TRUE	0.00001	0.05	50	0.606621092828946	4	43	32	93	70	43	70	0.614285714285714	0.614285714285714
Unadjusted CLR	93	glasso	FALSE	0.000001	0.05	50	0.658377191097787	4	55	37	93	70	37	88	0.420454545454545	0.528571428571429
MB neighborhood (OR)	93	mb	TRUE	0.000001	0.05	50	0.514905799223612	6	71	61	93	70	54	87	0.620689655172414	0.771428571428571
Relaxed filter	183	glasso	TRUE	0.000001	0.05	50	0.571427963482043	5	144	94	93	70	66	83	0.795180722891566	0.942857142857143
Strict filter	63	glasso	TRUE	0.000001	0.05	50	0.602604048536938	3	16	19	63	22	15	23	0.652173913043478	0.681818181818182
StARS 0.025	93	glasso	TRUE	0.000001	0.025	50	0.633073288818598	4	35	29	93	70	35	70	0.5	0.5
StARS 0.10	93	glasso	TRUE	0.000001	0.1	50	0.514905799223612	6	130	61	93	70	70	130	0.538461538461538	1
