BranchID	ControlID	Confidence	MinimumHitGroups	ClassifiedFraction	SpeciesResolvedFraction	ReferenceAwareSpeciesRecall	NonTruthSpeciesPer10k	UnsupportedClassifiedPer10k	NonHumanSpeciesPer10k
standard16-human-c010-h1	human	0.1	1	0.5364	0.0035			0.5	0.5
standard16-human-c010-h2	human	0.1	2	0.5364	0.0035			0.5	0.5
standard16-human-c010-h3	human	0.1	3	0.5364	0.0035			0.5	0.5
standard16-human-c010-h4	human	0.1	4	0.5363	0.0035			0.5	0.5
standard16-mock-c010-h1	mock	0.1	1	0.6588893000370033	0.3176885919732776	0.873015873015873	173.81564340790672		
standard16-mock-c010-h2	mock	0.1	2	0.6588792991369223	0.3176885919732776	0.873015873015873	173.81564340790672		
standard16-mock-c010-h3	mock	0.1	3	0.6588292946365173	0.31764858837295357	0.873015873015873	173.81564340790672		
standard16-mock-c010-h4	mock	0.1	4	0.6587892910361932	0.3176285865727915	0.873015873015873	173.71563440709662		
