ControlID	Mate	Pairs	Records	Bases	CompressedBytes	CompressedSHA256	PairIDSHA256
mock	R1	99991	99991	14974589	8661319	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
mock	R2	99991	99991	14835184	10045722	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
human	R1	20000	20000	2020000	1202366	906a7ed253f496e29847a826e426201e6310b0980070d8664d1b58f57ddf8c8e	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18
human	R2	20000	20000	2020000	1240150	5686d2a6080b8b9103854885d2f06507db05ae332faab1fe2d9cd18691f9b60a	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18
