Source	Table	FeatureLevel	NativeUnit	Rows	NativeSum	ObservedOrModel	LengthCorrected	DepthNormalized	Closed
Bracken	bracken-species-r150-t10.tsv	Species	Estimated paired fragments	65	84147	Model-derived	No	No	Only fraction_total_reads
MetaPhlAn	profile-all.tsv	Species	Percent	31	99.99996	Model-derived	Marker/genome model	Yes: rank composition	Yes within rank
HUMAnN	genefamilies-rpk.tsv	Community gene families	RPK	11777	263560.9363648028	Alignment-derived	Yes	No	No
HUMAnN	genefamilies-cpm.tsv	Community gene families	Copies per million (CoPM)	11777	999999.97064	RPK-derived	Yes	TSS	1,000,000
HUMAnN	pathcoverage.tsv	Ordinary community pathways	0-1 coverage score	147	45.4171887098	Pathway-model evidence	No	No TSS	Not applicable
MicrobeCensus	microbecensus-primary.tsv	Sample	Genome equivalents	1	11.571194856644642	AGS-model-derived	Total bp / AGS	Library calibration	No
