StateLabel	CellCount	FractionOfOrdinaryCells	Interpretation	BiologicalAbsenceClaim
"Abundance = 0
Coverage = 0"	5422	0.5076779026217229	No abundance or coverage evidence	No
"Abundance > 0
Coverage = 0"	4079	0.38192883895131086	Abundance reconstructed below coverage evidence	No
"Abundance = 0
Coverage > 0"	0	0.0	Coverage evidence without abundance	No
"Abundance > 0
Coverage > 0"	1179	0.11039325842696629	Both evidence types positive	No
