Branch	ReadLengthBp	ReadsInSequenceUniverse	ReadsSampledForAGS	ReadsTooShort	MarkerHits	AssignedMarkerReads	AverageGenomeSizeBp	TotalBases	GenomeEquivalents	NReadsCeiling	Threads	QualityFiltering	DuplicateFiltering
Primary	150	199982	180995	18987	14729	1275	2576205.2553182994	29809773	11.571194856644642	100000000	8	No	No
Sensitivity	100	199982	199775	207	8546	1353	2469448.8040391826	29809773	12.071427822776199	100000000	8	No	No
