Metric	FeatureLevel	ObservedSum	ClosureTarget	ClosureStatus	Denominator	MayMixRanks
Bracken fraction	Species	0.9997	1.0	Rounded pass	Sum of reported species estimates	No
MetaPhlAn species %	Species	99.99996	100.0	Pass	Species-level marker model	No
HUMAnN CoPM	Community gene families	999999.97064	1000000.0	Pass	Community gene-family RPK sum	No
HUMAnN relative	Community gene families	0.99999997064	1.0	Pass	Community gene-family RPK sum	No
Pathway coverage	Ordinary community pathways	45.4171887098	NA	Not applicable	Independent bounded pathway evidence	No
