Layer	GenesWithAnyTerm	FractionalGeneEquivalent	GeneDifference	MOCK1ReadsFromGenesWithAnyTerm	MOCK1FractionalRawReads	MOCK1Difference	MOCK2ReadsFromGenesWithAnyTerm	MOCK2FractionalRawReads	MOCK2Difference
COG	77376	77376.00000000003	2.9103830456733704e-11	2554904	2554904.0	0.0	2549461	2549461.0	0.0
KO	50800	50800.0	0.0	1734259	1734259.0	0.0	1727588	1727588.0	0.0
GO	8821	8821.000000000016	1.6370904631912708e-11	252770	252769.99999999974	-2.6193447411060333e-10	252426	252425.99999999974	-2.6193447411060333e-10
