EvidenceCombination	Genes	GenePercent	MOCK1RawReads	MOCK1ReadPercent	MOCK2RawReads	MOCK2ReadPercent
COG=yes | KO=yes | GO=no	42231	45.03102940862852	1487663	53.43167995218793	1481395	53.33664813283297
COG=yes | KO=no | GO=no	26349	28.096009895289075	814995	29.271785345628277	816038	29.38090898715113
COG=no | KO=no | GO=no	16167	17.238915783412594	222741	8.000081889668756	221410	7.971720751785005
COG=yes | KO=yes | GO=yes	8340	8.892964534772132	240301	8.630776005177726	239843	8.63538873705059
COG=yes | KO=no | GO=yes	456	0.48623403211703736	11945	0.42902284793591344	12185	0.43871287367553535
COG=no | KO=yes | GO=no	214	0.22818877823036404	6065	0.21783370219600795	6174	0.22229079048606937
COG=no | KO=yes | GO=yes	15	0.015994540530165705	230	0.008260799918397663	176	0.006336763706761939
COG=no | KO=no | GO=yes	10	0.010663027020110469	294	0.010559457286995274	222	0.007992963311938354
