AnnotationState	Genes	GenePercent	MOCK1RawReads	MOCK1ReadPercent	MOCK2RawReads	MOCK2ReadPercent
No seed ortholog	9271	9.885692350344415	94295	3.38674838393612	91792	3.304910307790295
Orthology only	6243	6.656927768654966	113462	4.07516034930972	114727	4.13066982832771
Broad/family only	24965	26.620246955705785	783879	28.154206866233228	783994	28.227185940449544
Specific identifier	53303	56.83713292529483	1792598	64.38388440052093	1786930	64.33723392343245
