COGCategory	Description	GenesWithCategory	FractionalGeneEquivalent	MOCK1FractionalRawReads	MOCK2FractionalRawReads
A	RNA processing and modification	40	36.5	1580.0	1555.5
B	Chromatin structure and dynamics	40	20.7	739.2	660.7
C	Energy production and conversion	6369	6167.666666666667	205567.41666666666	203719.25
D	Cell cycle control and chromosome partitioning	1227	1185.2333333333333	43027.2	43531.23333333334
E	Amino acid transport and metabolism	5613	5109.483333333335	178761.03333333335	177897.24999999997
F	Nucleotide transport and metabolism	3006	2933.6666666666665	101131.5	99899.83333333334
G	Carbohydrate transport and metabolism	3713	3257.98333333334	156009.61666666667	154882.1666666666
H	Coenzyme transport and metabolism	4586	4454.833333333334	146794.0833333333	145750.41666666666
I	Lipid transport and metabolism	2253	1981.4833333333333	53983.783333333326	54689.83333333333
J	Translation and ribosome biogenesis	5643	5553.749999999999	167976.58333333334	166783.66666666663
K	Transcription	5271	4899.033333333335	117091.74999999991	117009.61666666667
L	Replication, recombination and repair	5690	5475.066666666663	245326.2833333335	245586.48333333337
M	Cell wall and membrane biogenesis	5181	4916.083333333334	174577.8333333333	174573.8333333333
N	Cell motility	1778	1252.1666666666663	47785.66666666667	47965.0
O	Post-translational modification and chaperones	2693	2519.8333333333335	83857.58333333334	83160.16666666667
P	Inorganic ion transport and metabolism	4855	4509.8166666666775	152093.94999999995	152934.6666666666
Q	Secondary metabolite biosynthesis and transport	1720	1424.3166666666668	42729.03333333334	42798.583333333336
R	General function prediction only	0	0	0	0
S	Function unknown	15120	15120.0	402325.0	403182.0
T	Signal transduction mechanisms	3825	3236.400000000006	109996.28333333325	108782.31666666662
U	Intracellular trafficking and secretion	2224	1714.7833333333326	59261.700000000004	59650.450000000004
V	Defense mechanisms	1592	1582.8333333333335	63100.33333333333	63277.0
W	Extracellular structures	14	6.333333333333333	250.66666666666666	215.0
X	Mobilome: prophages and transposons	0	0	0	0
Y	Nuclear structure	0	0	0	0
Z	Cytoskeleton	36	18.033333333333335	937.4999999999999	956.0333333333334
