Asset	Release	InstalledFile	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	RequiredForRun	Status
annotation-sqlite	5.0.2	eggnog.db	41370988544	41370988544	4d6857c129423889edcd607995b28d97944787a588224f31dd7f745fe9ef1e4f	4d6857c129423889edcd607995b28d97944787a588224f31dd7f745fe9ef1e4f	yes	PASS
taxonomy-sqlite	5.0.2	eggnog.taxa.db	278003712	278003712	84d56ba1cbb091cc4c4064ba0f8235020654ed50fd6d617f829c4e45551faffd	84d56ba1cbb091cc4c4064ba0f8235020654ed50fd6d617f829c4e45551faffd	yes	PASS
taxonomy-traverse	5.0.2	eggnog.taxa.db.traverse.pkl	6628719	6628719	de7bb2b35489c9e5e1f2522575c8107ebd3d7117f8910dc6745aab68ac2d2173	de7bb2b35489c9e5e1f2522575c8107ebd3d7117f8910dc6745aab68ac2d2173	yes	PASS
diamond-protein-index	5.0.2	eggnog_proteins.dmnd	9285439161	9285439161	f4b63db0313021e4a2ca1d47a6b3f7862a3c8c2016abf3b51ef5865e653642a7	f4b63db0313021e4a2ca1d47a6b3f7862a3c8c2016abf3b51ef5865e653642a7	yes	PASS
