Term	GenesWithTerm	FractionalGeneEquivalent	MOCK1FractionalRawReads	MOCK2FractionalRawReads
ko:K00688	32	31.333333333333332	2580.0	2397.666666666667
ko:K00765	32	29.0	850.8333333333333	923.1666666666666
ko:K00767	32	30.5	953.0	923.5
ko:K00793	32	32.0	636.0	716.0
ko:K00962	32	32.0	1915.0	1815.0
ko:K01462	32	32.0	440.0	508.0
ko:K01657	32	27.25	1544.5	1546.0
ko:K01689	32	32.0	1492.0	1525.0
ko:K01866	32	32.0	1386.0	1471.0
ko:K01867	32	32.0	1381.0	1367.0
ko:K01912	32	31.333333333333336	1294.0	1143.6666666666667
ko:K01972	32	29.5	1728.0	1727.0
ko:K02017	32	22.916666666666664	399.83333333333337	369.9166666666666
ko:K02078	32	30.5	190.0	173.0
ko:K02470	32	29.833333333333332	2020.5	2128.166666666667
ko:K02492	32	32.0	1193.0	1138.0
ko:K02876	32	32.0	452.0	455.0
ko:K02965	32	32.0	307.0	292.0
ko:K02986	32	32.0	718.0	825.0
ko:K03466	32	30.5	1793.0	1798.0
ko:K03564	32	31.5	691.0	696.0
ko:K03585	32	29.0	665.5	664.8333333333334
ko:K03789	32	31.5	430.0	437.0
ko:K04043	32	32.0	1767.0	1740.0
ko:K04751	32	27.0	214.75	245.0
ko:K06173	32	32.0	921.0	942.0
ko:K06940	32	31.5	424.5	392.0
ko:K07263	32	29.0	1489.0	1461.5
ko:K07315	32	24.27777777777778	1214.4722222222222	1087.4166666666667
ko:K07491	32	32.0	444.0	430.0
ko:K07636	32	29.0	1247.5	1261.5
ko:K12340	32	28.0	856.5	886.0
ko:K21636	32	30.5	2768.0	2668.0
ko:K00052	31	28.0	970.5	939.5
ko:K00134	31	29.5	811.5	848.5
ko:K00337	31	28.5	771.5	693.5
ko:K00611	31	27.5	982.3333333333333	1020.8333333333334
ko:K00703	31	28.666666666666664	1473.1666666666665	1380.6666666666667
ko:K00821	31	27.5	1285.0	1345.5
ko:K00943	31	31.0	743.0	698.0
ko:K01181	31	25.0	3129.75	3056.25
ko:K01491	31	31.0	799.0	772.0
ko:K01533	31	21.75	845.75	863.25
ko:K01647	31	29.5	1001.5	1031.5
ko:K01695	31	31.0	885.0	855.0
ko:K01704	31	30.0	526.5	471.5
ko:K01810	31	31.0	1248.0	1318.0
ko:K01923	31	30.0	833.0	833.0
ko:K01925	31	31.0	1624.0	1521.0
ko:K01956	31	31.0	1388.0	1301.0
ko:K02434	31	31.0	1667.0	1707.0
ko:K02493	31	31.0	943.0	918.0
ko:K02871	31	31.0	504.0	470.0
ko:K02881	31	31.0	464.0	459.0
ko:K02906	31	31.0	926.0	889.0
ko:K02982	31	31.0	751.0	776.0
ko:K02994	31	31.0	406.0	397.0
ko:K03386	31	30.5	674.0	642.0
ko:K03408	31	30.333333333333336	793.0	752.3333333333333
ko:K03524	31	30.2	1010.4	980.0
ko:K03641	31	29.666666666666664	1442.6666666666665	1470.3333333333333
ko:K06901	31	31.0	1380.0	1333.0
ko:K09951	31	31.0	352.0	340.0
ko:K11749	31	30.5	1157.5	1171.0
ko:K17218	31	31.0	705.0	639.0
ko:K19302	31	30.5	520.0	481.5
ko:K20276	31	24.583333333333332	2104.75	1882.0833333333335
ko:K00341	30	27.666666666666664	1269.6666666666665	1101.1666666666665
ko:K00790	30	29.5	1544.5	1415.0
ko:K00951	30	25.0	1862.5	1745.5
ko:K01138	30	30.0	855.0	815.0
ko:K01262	30	24.0	941.0	924.0
ko:K01439	30	28.0	1400.0	1470.0
ko:K01591	30	29.0	878.0	798.5
ko:K01817	30	27.5	674.0	623.5
ko:K01940	30	30.0	1424.0	1413.0
ko:K02049	30	28.166666666666668	1085.6666666666667	992.1666666666666
ko:K02319	30	29.333333333333336	1547.6666666666665	1542.3333333333333
ko:K02338	30	29.5	1086.5	1067.0
ko:K02469	30	30.0	2398.0	2415.0
ko:K02528	30	29.5	945.5	983.5
ko:K02653	30	24.166666666666668	1114.6666666666665	1087.5
ko:K02843	30	24.400000000000002	388.03333333333336	388.5333333333333
ko:K02864	30	30.0	836.0	882.0
ko:K02886	30	30.0	883.0	905.0
ko:K02931	30	30.0	672.0	701.0
ko:K02950	30	30.0	423.0	369.0
ko:K02956	30	30.0	273.0	304.0
ko:K02961	30	30.0	303.0	301.0
ko:K02967	30	30.0	908.0	891.0
ko:K03070	30	29.5	2510.5	2418.0
ko:K03183	30	29.333333333333336	738.3333333333333	747.3333333333333
ko:K03217	30	29.5	1268.0	1385.0
ko:K03470	30	30.0	850.0	772.0
ko:K03495	30	30.0	1782.0	1868.0
ko:K03559	30	29.0	255.0	273.5
ko:K03650	30	30.0	1338.0	1306.0
ko:K03665	30	30.0	1457.0	1513.0
ko:K03695	30	25.5	1226.0	1222.5
ko:K04773	30	30.0	946.0	863.0
ko:K06889	30	27.0	825.5	868.0
ko:K07258	30	25.916666666666668	1237.5	1254.8333333333333
ko:K07301	30	30.0	987.0	1056.0
ko:K07568	30	30.0	980.0	975.0
ko:K09817	30	25.083333333333336	578.4166666666666	575.75
ko:K19091	30	30.0	1251.0	1183.0
ko:K00031	29	29.0	1139.0	1248.0
ko:K00286	29	29.0	696.0	682.0
ko:K00573	29	27.53333333333333	693.5333333333333	775.5333333333333
ko:K00666	29	26.5	874.0	965.0
ko:K00873	29	29.0	1325.0	1414.0
ko:K00950	29	26.083333333333332	398.75	388.0
ko:K00971	29	22.333333333333336	727.0	835.5
ko:K00981	29	29.0	703.0	754.0
ko:K01079	29	29.0	696.0	632.0
ko:K01537	29	27.0	1895.5	1898.5
ko:K01997	29	27.5	593.0	632.5
ko:K02500	29	27.5	844.5	829.5
ko:K02503	29	28.25	300.5	308.5
ko:K02863	29	29.0	749.0	776.0
ko:K02948	29	29.0	392.0	419.0
ko:K02952	29	29.0	422.0	396.0
ko:K02988	29	29.0	679.0	666.0
ko:K02996	29	29.0	427.0	436.0
ko:K03455	29	22.166666666666668	754.0000000000001	765.5
ko:K03723	29	29.0	2837.0	2771.0
ko:K03799	29	27.5	930.5	947.5
ko:K05592	29	28.5	931.5	953.5
ko:K06213	29	29.0	1122.0	1129.0
