Field	Genes	GenePercent	MOCK1RawReads	MOCK1ReadPercent	MOCK2RawReads	MOCK2ReadPercent
Seed ortholog	84511	90.11430764965559	2689939	96.61325161606388	2685651	96.6950896922097
Informative description	77369	82.49877375189268	2554518	91.74940037367548	2549101	91.77869716858275
Preferred name	29452	31.404747179629354	913700	32.816925588869324	908949	32.7261081505543
COG category	77376	82.50623787080677	2554904	91.76326415092984	2549461	91.79165873071022
KEGG Orthology	50800	54.16817726216118	1734259	62.28855045948006	1727588	62.200664424076386
GO (non-electronic)	8821	9.405856134439444	252770	9.078619110319032	252426	9.088431337744826
EC number	25616	27.314410014714976	946583	33.9979685615505	941272	33.88987640790468
PFAM transfer	75429	80.43014650999126	2489266	89.40577552030469	2483334	89.41079978959064
