Step	Command	Status
main-non-electronic	/workspace/miniconda3/envs/metagenome-eggnog-2026.07/bin/emapper.py -i /workspace/wechat/Metagenome/data/raw/article36/work/inputs/catalog.faa --itype proteins -m diamond --sensmode sensitive --dmnd_iterate yes --evalue 0.001 --outfmt_short --seed_ortholog_evalue 0.001 --tax_scope auto --tax_scope_mode inner_narrowest --target_orthologs all --pfam_realign none --data_dir /workspace/databases/eggnog_data --go_evidence non-electronic --md5 --cpu 32 -o catalog-main --output_dir /workspace/wechat/Metagenome/data/raw/article36/work/annotation/main --override	PASS
go-all-sensitivity	/workspace/miniconda3/envs/metagenome-eggnog-2026.07/bin/emapper.py -m no_search --annotate_hits_table /workspace/wechat/Metagenome/data/raw/article36/work/annotation/main/catalog-main.emapper.seed_orthologs --seed_ortholog_evalue 0.001 --tax_scope auto --tax_scope_mode inner_narrowest --target_orthologs all --pfam_realign none --data_dir /workspace/databases/eggnog_data --go_evidence all --cpu 8 -o catalog-go-all --output_dir /workspace/wechat/Metagenome/data/raw/article36/work/annotation/go-all --override	PASS
