Asset	Source	Bytes	SHA256	Role
catalog-proteins	Article 34 MEGAHIT mix primary representatives	17732326	3db88ff78a548dddfc48caa8a17f04bcbb58dcafe2345d9dd31bc4e12f2a3569	93,782 protein queries
catalog-metadata	Article 34 primary representative metadata	661076	677479da11ef41a6f27f11798c38dfd9b5830b5c564d9a8f436951413acd7c09	length and ORF completeness strata
gene-abundance	Article 35 audited raw read counts	6127591	8dc7ea7c1f0a6e61625fd1aada492d252b60eed050a91af6560986987e43236b	read-weighted annotation missingness
