Step	UserSeconds	SystemSeconds	Elapsed	MaxRSSKiB	FileSystemInputs	FileSystemOutputs	ExitStatus
Main non-electronic GO	15543.74	1343.78	11:58.62	7491700	0	7801576	0
All-evidence GO sensitivity	372.52	204.28	1:09.89	53460	0	75680	0
