Project	BioSample	Run	Sample	Group	Mate	Records	RelativePath	Bytes	SHA256
PRJEB52977	SAMEA14435832	ERR9765746	ERR9765746	MOCK1	R1	99991	data/raw/article13/ERR9765746_clean_R1.fastq.gz	8661319	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101
PRJEB52977	SAMEA14435832	ERR9765746	ERR9765746	MOCK1	R2	99991	data/raw/article13/ERR9765746_clean_R2.fastq.gz	10045722	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459
