Cohort	Threshold	FPR	TPR
FR	Inf	0	0
FR	0.99206249989106	0	0.0188679245283019
FR	0.991840775834897	0	0.0377358490566038
FR	0.978753863256392	0	0.0566037735849057
FR	0.967250029642307	0	0.0754716981132075
FR	0.96299177893191	0	0.0943396226415094
FR	0.956860079226629	0	0.113207547169811
FR	0.924270224008795	0	0.132075471698113
FR	0.91160868302631	0	0.150943396226415
FR	0.904415533291188	0	0.169811320754717
FR	0.900526421599635	0	0.188679245283019
FR	0.880023794988246	0	0.207547169811321
FR	0.875054827694713	0	0.226415094339623
FR	0.864537346853417	0	0.245283018867925
FR	0.858739480267925	0.0163934426229508	0.245283018867925
FR	0.857824813122209	0.0163934426229508	0.264150943396226
FR	0.853253893655112	0.0163934426229508	0.283018867924528
FR	0.829751754658158	0.0163934426229508	0.30188679245283
FR	0.827084064510964	0.0163934426229508	0.320754716981132
FR	0.813261786771079	0.0163934426229508	0.339622641509434
FR	0.805324143964676	0.0327868852459016	0.339622641509434
FR	0.803104051246099	0.0327868852459016	0.358490566037736
FR	0.801070453741933	0.0327868852459016	0.377358490566038
FR	0.800882671103489	0.0327868852459016	0.39622641509434
FR	0.799884541400812	0.0491803278688525	0.39622641509434
FR	0.780254499429273	0.0491803278688525	0.415094339622642
FR	0.776156480388696	0.0491803278688525	0.433962264150943
FR	0.772077859906421	0.0491803278688525	0.452830188679245
FR	0.754946316110549	0.0491803278688525	0.471698113207547
FR	0.74754597353661	0.0491803278688525	0.490566037735849
FR	0.725783116753452	0.0655737704918033	0.490566037735849
FR	0.718651409062881	0.0655737704918033	0.509433962264151
FR	0.712203659717745	0.0819672131147541	0.509433962264151
FR	0.709224365682594	0.0983606557377049	0.509433962264151
FR	0.696159952560731	0.114754098360656	0.509433962264151
FR	0.694861868208908	0.131147540983607	0.509433962264151
FR	0.693485225743879	0.147540983606557	0.509433962264151
FR	0.677716328638447	0.163934426229508	0.509433962264151
FR	0.655935126735383	0.180327868852459	0.509433962264151
FR	0.653774598928261	0.19672131147541	0.509433962264151
FR	0.640307132537616	0.213114754098361	0.509433962264151
FR	0.639312697859262	0.213114754098361	0.528301886792453
FR	0.630792848224121	0.213114754098361	0.547169811320755
FR	0.58525001981298	0.229508196721311	0.547169811320755
FR	0.58320364418527	0.229508196721311	0.566037735849057
FR	0.572506317546961	0.245901639344262	0.566037735849057
FR	0.570421612496356	0.245901639344262	0.584905660377358
FR	0.568728213715944	0.262295081967213	0.584905660377358
FR	0.563361737595644	0.262295081967213	0.60377358490566
FR	0.561530765384164	0.278688524590164	0.60377358490566
FR	0.549901220837114	0.278688524590164	0.622641509433962
FR	0.541220026784944	0.278688524590164	0.641509433962264
FR	0.540862664115989	0.295081967213115	0.641509433962264
FR	0.525061022097853	0.311475409836066	0.641509433962264
FR	0.521522869308267	0.327868852459016	0.641509433962264
FR	0.518299790268682	0.327868852459016	0.660377358490566
FR	0.512144176347531	0.327868852459016	0.679245283018868
FR	0.507191569281644	0.327868852459016	0.69811320754717
FR	0.501433934288778	0.327868852459016	0.716981132075472
FR	0.498244158626414	0.327868852459016	0.735849056603774
FR	0.496405892842766	0.344262295081967	0.735849056603774
FR	0.496174259064006	0.360655737704918	0.735849056603774
