OuterTestCohort	OuterTestSamples	TrainingCohorts	TrainingSamples	FeaturesAvailable	FeaturesKept	CohortSupportRequired	Pseudocount	SelectedLambda	FittedOnOuterTrainingOnly
FR	114	AT;CN;US;DE;IT-A;IT-B;JP	657	897	243	4	0.000001	0.0398107170553497	TRUE
AT	107	FR;CN;US;DE;IT-A;IT-B;JP	664	897	242	4	0.000001	0.0501187233627272	TRUE
CN	128	FR;AT;US;DE;IT-A;IT-B;JP	643	897	240	4	0.000001	0.0630957344480193	TRUE
US	104	FR;AT;CN;DE;IT-A;IT-B;JP	667	897	245	4	0.000001	0.0794328234724282	TRUE
DE	125	FR;AT;CN;US;IT-A;IT-B;JP	646	897	252	4	0.000001	0.0398107170553497	TRUE
IT-A	53	FR;AT;CN;US;DE;IT-B;JP	718	897	248	4	0.000001	0.0794328234724282	TRUE
IT-B	60	FR;AT;CN;US;DE;IT-A;JP	711	897	246	4	0.000001	0.0630957344480193	TRUE
JP	80	FR;AT;CN;US;DE;IT-A;IT-B	691	897	248	4	0.000001	0.0398107170553497	TRUE
