Cohort	Study	Role	Samples	Controls	CRC	TrainingCohorts	TrainingSamples	FeaturesKept	SelectedLambda	BestMeanInnerAUROC	SelectedMeanInnerAUROC	AUROC	AUROCLower95	AUROCUpper95	AUROCVariance	AUPRC	Brier	SensitivityAt05	SpecificityAt05
FR	ZellerG_2014	Discovery / meta-analysis	114	61	53	7	657	243	0.0398107170553497	0.808335963452167	0.796857600089924	0.76461490875348	0.675585876362326	0.853643941144633	0.00206332254970596	0.785539405491923	0.20401050793117	0.716981132075472	0.672131147540984
AT	FengQ_2015	Discovery / meta-analysis	107	61	46	7	664	242	0.0501187233627272	0.788072987333372	0.776531497663193	0.817890235210264	0.733139014638942	0.902641455781586	0.00186980252128044	0.823623701936837	0.17979976458482	0.608695652173913	0.901639344262295
CN	YuJ_2015	Discovery / meta-analysis	128	54	74	7	643	240	0.0630957344480193	0.78642711583651	0.767645160293349	0.836336336336336	0.764246637018975	0.908426035653698	0.00135285186962607	0.870827542351577	0.178773809430334	0.689189189189189	0.87037037037037
US	VogtmannE_2016	Discovery / meta-analysis	104	52	52	7	667	245	0.0794328234724282	0.794270851318577	0.775435881758948	0.710059171597633	0.60993075098352	0.810187592211747	0.00260986804301217	0.732852026429055	0.230073591214051	0.269230769230769	0.923076923076923
DE	WirbelJ_2018	Discovery / meta-analysis	125	65	60	7	646	252	0.0398107170553497	0.792723701001029	0.787498074570146	0.845641025641026	0.777329340438895	0.913952710843157	0.00121476932409543	0.87253858343763	0.167702354403178	0.65	0.938461538461538
IT-A	ThomasAM_2018a	Independent validation	53	24	29	7	718	248	0.0794328234724282	0.797871381280949	0.788572542770296	0.612787356321839	0.459525871367103	0.766048841276575	0.00611462568438687	0.706363439197599	0.250418027339735	0.137931034482759	1
IT-B	ThomasAM_2018b	Independent validation	60	28	32	7	711	246	0.0630957344480193	0.793982034472488	0.773489146428441	0.839285714285714	0.738182718517191	0.940388710054238	0.00266092029889913	0.893119076569216	0.185295111044422	0.53125	1
JP	ThomasAM_2019_c	Independent validation	80	40	40	7	691	248	0.0398107170553497	0.80874013999981	0.797104294504456	0.8025	0.702888066059709	0.902111933940291	0.00258301282051282	0.821671697032753	0.183428153052268	0.675	0.825
