Dataset	Tool	File	Bytes	SHA256
salinispora-full	antiSMASH	antismash/salinispora-full/salinispora-full.json	23597190	411a70043e9c64e8be570cf50b0f264d89d9df8f64a71652ecfa6cada84322fd
salinispora-full	GECCO	gecco/salinispora-full/salinispora-full.clusters.tsv	25351	47e8881d423008a5d7db8ac4bf698fcdad9cd081bfaa10b6ef230e94ad4b5c58
salinispora-fragmented	antiSMASH	antismash/salinispora-fragmented/salinispora-fragmented.json	26924840	1db17f90b306e0478916f67f69101ea45d3875c88b29380264122270e7ebb8f3
salinispora-fragmented	GECCO	gecco/salinispora-fragmented/salinispora-fragmented.clusters.tsv	20988	b3f736d8d290f68cfd7759610f6e1ea6e3cf51baf7b829b45402a85297c0dd2c
nostoc	antiSMASH	antismash/nostoc/nostoc.json	18755275	848ebfdc52134233d35027badaa37cbffeb9f967c5889fe7880399669d6d2c2b
nostoc	GECCO	gecco/nostoc/nostoc.clusters.tsv	7527	377d8f516aa1bbb160f59cbe8d4dcd25a74382bd27c137d43ad32833e9b09239
coassembly-ge20kb	antiSMASH	antismash/coassembly-ge20kb/coassembly-ge20kb.json	86863118	89da487487654c9e59818ee4dcd2e99262d80c37e34532f8d96b1af7e7ee3648
coassembly-ge20kb	GECCO	gecco/coassembly-ge20kb/coassembly-ge20kb.clusters.tsv	12605	adde07604cbb0f4eb2796d15815cbdefe93c0964c10275b5d6349bfe9997d625
