Asset	Records	Bases	SelectedRecords	SelectedBases	CompressedSHA256
Salinispora tropica CNB-440	1	5183331	1	5183331	f6b2f3c9170344c992c13ef1c915780a1295908a8f2f0dd6661aa12fba205c00
Salinispora deterministic 20 kb fragments	260	5183331	260	5183331	derived
Nostoc sp. PCC 7120	7	7211789	7	7211789	6a30f675c3d94cd6aba7de06a1c27ef2fbd5a38e5424603d790669cf13894bb9
MEGAHIT co-assembly >=1 kb	18354	84811518	675	39665540	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a
