Dataset	antiSMASHRegions	GECCORegions	antiSMASHSupportedByGECCO	GECCOSupportedByAntiSMASH	antiSMASHEdgeRegions	GECCOEdgeRegions	ReciprocalOverlapThreshold
salinispora-full	19	15	14	14	0	0	0.25
salinispora-fragmented	29	27	20	20	28	12	0.25
nostoc	16	9	9	9	2	0	0.25
coassembly-ge20kb	71	21	17	17	37	4	0.25
