SimilarityClass	Regions	MOCK1FractionalRawReads	MOCK2FractionalRawReads
High (>=0.75)	3	3123.00000000	2805.00000000
Intermediate (0.50-<0.75)	31	28178.00000000	27776.00000000
Low (<0.50)	36	37390.00000000	37076.00000000
No score	1	1099.00000000	1159.00000000
