Category	FractionalRegions	FractionalGenes	MOCK1FractionalRawReads	MOCK2FractionalRawReads
PKS	12.33333333	292.33333333	11651.50000000	11746.66666667
NRPS	11.33333333	310.33333333	12838.50000000	12332.66666667
RiPP	16.33333333	295.33333333	16247.00000000	16134.66666667
Terpene	27.00000000	524.00000000	26593.00000000	26144.00000000
Other	4.00000000	77.00000000	2460.00000000	2458.00000000
