Label	Elapsed	PeakRAMGiB	FileSystemInputs	FileSystemOutputs	ExitStatus
antismash-coassembly-ge20kb	22:25.68	0.767	0	373080	0
antismash-nostoc	1:20.76	0.556	0	89424	0
antismash-salinispora-fragmented	7:49.86	0.431	22944	99024	0
antismash-salinispora-full	1:33.97	0.611	0	98080	0
gecco-coassembly-ge20kb	0:51.93	1.774	0	27088	0
gecco-nostoc	0:27.52	0.869	0	5912	0
gecco-salinispora-fragmented	0:11.56	0.845	0	6672	0
gecco-salinispora-full	0:21.12	0.833	0	7728	0
