Branch	Table	Bins	BinnedContigs	SHA256
MetaBAT2-MOCK1-only	${ARTICLE43_WORK_DIR}/tables/metabat2-mock1-only.contig2bin.tsv	33	8144	7535cfe2798a2e5d4ddc4da683a4b7fac6c5db999f6ffe9673a1a0b0e1144d16
MetaBAT2-multisample	${ARTICLE43_WORK_DIR}/tables/metabat2-multisample.contig2bin.tsv	34	8360	4c1d3a3772badc3e607abe53bf8e6f88ee9349f8a21072f9ce297ab1c0390e34
SemiBin2-self-supervised	${ARTICLE43_WORK_DIR}/tables/semibin2-self-supervised.contig2bin.tsv	43	9304	bbe45c1ee004904c2c8eb505f0cc3c8b4d7ba64274a7b73134b180994782b082
VAMB-taxonomy-free	${ARTICLE43_WORK_DIR}/tables/vamb-taxonomy-free.contig2bin.tsv	26	5115	216163390dac27c00cc920197f55582003e2d8c6ce3eec92829c5d8b41b2b5dc
TaxVAMB-Kraken2	${ARTICLE43_WORK_DIR}/tables/taxvamb-kraken2.contig2bin.tsv	35	6608	d318d9f85340e91fc3b8e337c3fe5aaf85fcb4db750e5de3c6c0a4841a0c8ae6
