Tool	Version	Executable
DAS Tool	1.1.7	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/DAS_Tool
Binette	1.2.1	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/binette
Prodigal	2.6.3	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/prodigal
CheckM2	1.1.0	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/checkm2
