Method	RefinedID	SourceBin	Contigs	FASTA	SHA256
Binette	binette__005	article43_bin13.fa	14	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__005.fna	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6
Binette	binette__006	article43_bin14.fa	13	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__006.fna	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf
Binette	binette__007	article43_bin15.fa	31	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__007.fna	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086
Binette	binette__008	article43_bin16.fa	126	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__008.fna	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4
Binette	binette__009	article43_bin17.fa	283	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__009.fna	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51
Binette	binette__010	article43_bin18.fa	221	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__010.fna	aadfb6dfba7397fdde86d09111a84e3e702bdccc255d4ff8a27a235224496ab8
Binette	binette__011	article43_bin19.fa	682	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__011.fna	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b
Binette	binette__012	article43_bin2.fa	77	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec
Binette	binette__013	article43_bin20.fa	70	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__013.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c
Binette	binette__014	article43_bin21.fa	996	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__014.fna	7a6bae8324de5738961f6cecc42d9e50801ce2de695f004f9549575464d2803c
Binette	binette__015	article43_bin22.fa	272	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__015.fna	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33
Binette	binette__016	article43_bin23.fa	488	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__016.fna	545e988b191c3eed1c19f658d4476d65aceb66c03d02ab368cd9ad58159f55dc
Binette	binette__017	article43_bin24.fa	361	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__017.fna	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5
Binette	binette__018	article43_bin25.fa	380	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__018.fna	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b
Binette	binette__019	article43_bin26.fa	324	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__019.fna	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68
Binette	binette__020	article43_bin27.fa	493	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__020.fna	ff391d3616ad41af6f0a8cc89f2bd2158d6c0f1d96fdb1b3dfa07ddcb4cdbe4e
Binette	binette__021	article43_bin3.fa	48	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__021.fna	ce8e021af9fa69702a64dde572c32832261e73f2f9da67008e0a4cccb395b33d
Binette	binette__022	article43_bin4.fa	94	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__022.fna	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7
Binette	binette__023	article43_bin5.fa	43	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__023.fna	e21379b05a2d8bfee13a32910f8ba4bbf89aa9f3f0c36ea9933e0e27cd5cf43b
Binette	binette__024	article43_bin6.fa	54	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__024.fna	77e8136b6b221277df458756be3ed1c72bf834589b89611b6a3292a4dc625947
Binette	binette__025	article43_bin7.fa	306	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__025.fna	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806
Binette	binette__026	article43_bin8.fa	65	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__026.fna	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14
Binette	binette__027	article43_bin9.fa	42	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__027.fna	f7a517e76fab62f622448d52fbaaab10e97ae3a379fcfc369adcc05701d34c11
