Stage	Method	Bins	MinimumPassBins	MedianCompleteness	MedianContamination
Input binner	MetaBAT2-MOCK1-only	33	22	96.63	0.31
Input binner	MetaBAT2-multisample	34	22	96.035	0.24
Input binner	SemiBin2-self-supervised	43	24	78.95	0.25
Input binner	VAMB-taxonomy-free	26	15	93.33	0.22
Input binner	TaxVAMB-Kraken2	35	18	77.63	0.19
Refinement	DAS Tool	26	21	98.69	0.28
Refinement	Binette	27	23	99.58	0.28
