Role	Path	Bytes	SHA256	Status
Article42-frozen-manifest	data/small/42-binning-comparison-frozen/file-checksums.sha256	6706	13af61991a20be099f84fe0357e114fc89e4f99b5d4702093640a988661a67c6	PASS
Article30-coassembly-ge1000	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	25559722	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	PASS
Article43-common-coordinate-fasta	${ARTICLE43_WORK_DIR}/inputs/megahit-coassembly.ge1500.fna	75995087	7b25b3f03f3267d80679caa3381ebcb43d300ecf2daebab6028d41708a22c496	PASS
CheckM2-database-v3	${HOME}/databases/metagenome-mag-qc/checkm2-v1.1.0/CheckM2_database/uniref100.KO.1.dmnd	3082500605	1b86ef3eac0813c1853f53182c17657045e3763d66f384ec95747261a63ae46f	PASS
