Method	Bins	BinnedContigs	BinnedBp	MinimumPassBins	PassingScoreSum	HQTruthProxyBins	MQTruthProxyBins	BelowMQTruthProxyBins	DistinctDominantTruthGenomes
DAS Tool	26	4887	58720909	21	1882.56	13	11	2	26
Binette	27	5744	64029892	23	2054.76	17	8	2	27
