Term	Estimate	SE	DF	TStatistic	PValue	CILower	CIUpper
(Intercept)	0.724665829576275	0.0136591686816736	104.289744748361	53.0534358616241	2.7965568754685e-77	0.697893858960194	0.751437800192355
DiagnosisCD	0.0514220832237571	0.016948527738739	104.332476831607	3.03401475434486	0.00304603064567568	0.0182029688558287	0.0846411975916856
DiagnosisUC	0.0184522377672547	0.0188338134059687	104.53245511681	0.979739863059645	0.329476617026153	-0.0184620365084439	0.0553665120429533
WeekYearCentered	-0.0223494982663382	0.0146356031988896	88.9809939571658	-1.52706369273757	0.130292128795208	-0.0510352805361618	0.00633628400348548
AntibioticsYes	0.0322190173016928	0.00533542860871153	1449.250320478	6.03869335803434	1.97094896054332e-09	0.0217615772286182	0.0426764573747674
Log10ReadsCentered	0.000264729863555094	0.00635231636188046	1427.23681986159	0.0416745401950867	0.966763979293101	-0.0121858102057306	0.0127152699328408
DiagnosisCD:WeekYearCentered	0.0423905165522957	0.0183132526891796	93.2962594636751	2.31474535254691	0.0228204520755285	0.00649654128150364	0.0782844918230877
DiagnosisUC:WeekYearCentered	0.0114792832862306	0.0203417962593092	93.5882967075181	0.564320040368962	0.573886327278414	-0.0283906373820154	0.0513492039544765
