Model	npar	AIC	BIC	logLik	deviance	Chisq	Df	Pr(>Chisq)
ml_intercept	10	-4469.2928066414	-4416.00843311245	2244.6464033207	-4489.2928066414	NA	NA	NA
ml_slope	12	-4516.75756009104	-4452.8163118563	2270.37878004552	-4540.75756009104	51.4647534496389	2	6.6768371248067e-12
