Diagnosis	Samples	Subjects	MedianDysbiosisScore	SubjectMedianScore	SubjectMedianCILower	SubjectMedianCIUpper	DysbioticSamples	DysbioticSamplePercent
Control	411	27	0.7181751361438367	0.7163791845177632	0.6813312637392701	0.7438434920180518	41	9.975669099756692
CD	699	50	0.7604454652789382	0.7481166000013664	0.7313264737454718	0.788909500418826	178	25.464949928469245
UC	413	30	0.7445011513837511	0.7324317494030927	0.7199459204995774	0.7552559769690436	53	12.832929782082324
